label,text
spam,"Breaking: Earn passive income of $5000/month with our proven system. No skills, no experience, just click below to start earning today! Text STOP to unsubscribe (but hurry, offer ends soon)!"
spam,"GOOD NEWS Refinance your mortgage today and SAVE thousands! Rates as low as 0.9% APR, approval guaranteed regardless of credit score. Don't delay, click below to proceed."
spam,"Hi there!!! As the sole heir, you are entitled to a inheritance of $250000 from a distant relative. Reply with your bank details to proceed. Text STOP to unsubscribe (but hurry, offer ends soon)!"
ham,"Hi Team, I've attached the spreadsheet we discussed yesterday. Let me know if you have any questions or need changes before Friday. Talk soon."
spam,"Dear Winner This is your FINAL WARNING! Your bank subscription has expired! Update your billing information now to avoid account closure! 100% risk free, cancel anytime!"
spam,FINAL REMINDER Your computer has a VIRUS! Download our antivirus tool immediately to remove 27 threats detected on your device: http://bit!ly/free-cash-now
spam,"Breaking: Make $500 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. Offer expires in 24 hours, act fast!"
spam,"Breaking: Make $10000 per week working from home! No experience needed. Just send a small registration fee of $49 to get started TODAY. Limited spots available, don't miss out!"
ham,"Hi John, Quick question about the onboarding order — did it ship yet? Tracking still shows it's processing. Appreciate it."
ham,"Good morning, The kids' school project is due on next week, can you pick up some poster board on your way home tonight? Let me know either way."
ham,"Hey, Could you review the pull request I opened this morning? Nothing urgent, just want your eyes on the office chairs changes. Let me know either way."
spam,"Breaking: Your account will be SUSPENDED unless you verify your password immediately. Click here to confirm your identity: http://claim-your-prize.example.ru/verify This is not a scam, 100% legit and guaranteed!!!"
ham,"Hey team, Thanks so much for your help moving last weekend, really appreciate it! Let's grab dinner soon to say thanks properly. Best,"
ham,"Hello, The kids' school project is due on Thursday, can you pick up some poster board on your way home tonight?"
spam,"FINAL REMINDER Your Netflix password was reset! If this wasn't you, click below immediately to secure your account: http://secure-login-update!example!info"
ham,"Hey, Great meeting you at the conference! Would love to grab lunch and talk more about the laptop project sometime."
ham,"Hey team, Following up on our call from earlier — I'll send the updated proposal by end of day tomorrow."
spam,"Limited Time Offer URGENT: Your tax refund of $1000000 is pending! Submit your social security number and banking info to release the funds! For your security, verify now: http://claim-your-prize!example!ru/verify"
ham,"Dear Priya, Loved catching up with you last night! We should plan that trip to Marco's soon, maybe over the long weekend."
ham,"Hi John, Just a reminder that our team sync is scheduled for next week at 4:00 PM. Please let me know if that time doesn't work for you. Best,"
ham,"Hi John, Can you send over your availability for next week? Want to lock in time for the Q3 roadmap kickoff."
ham,"Hi Team, Attaching the slide deck for tomorrow's budget meeting. Let me know if I missed anything before I send it to the client. Appreciate it."
spam,"Important Update Lose 15kg in just 2 weeks with this ONE weird trick doctors don't want you to know about! Order your free trial now. 100% risk free, cancel anytime."
